Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s)
Fri Dec 17 14:17:48 UTC 2021,-98,-15,-63,-99,-16,-83,4818797600,13.4079596743629
Fri Dec 17 14:17:51 UTC 2021,-103,-19,-64,-100,-13,-87,4822669930,10.5377259862417
Fri Dec 17 14:17:54 UTC 2021,-106,-19,-65,-93,-11,-82,4827752726,13.8353668651902
Fri Dec 17 14:17:57 UTC 2021,-102,-19,-63,0,0,0,4831013872,8.86118815701581
Fri Dec 17 14:18:00 UTC 2021,-105,-17,-71,0,0,0,4834649600,9.55418013005422
Fri Dec 17 14:18:03 UTC 2021,-104,-17,-66,0,0,0,4840386992,15.155464671714
Fri Dec 17 14:18:06 UTC 2021,-105,-19,-70,0,0,0,4845740844,14.545570885576
Fri Dec 17 14:18:09 UTC 2021,-104,-16,-70,0,0,0,4851094736,14.5376723078624
Fri Dec 17 14:18:12 UTC 2021,-105,-16,-71,0,0,0,4856366198,14.3322649150734
Fri Dec 17 14:18:15 UTC 2021,-105,-18,-62,0,0,0,4862051108,15.4002075367264
Fri Dec 17 14:18:18 UTC 2021,-105,-18,-62,0,0,0,4867424434,14.3169579106907
Fri Dec 17 14:18:21 UTC 2021,-101,-14,-68,0,0,0,4872510144,13.8246527760248
Fri Dec 17 14:18:24 UTC 2021,-105,-15,-67,0,0,0,4878511132,16.3144418312946
Fri Dec 17 14:18:27 UTC 2021,-96,-12,-63,-98,-13,-85,4883557894,13.709470139519
Fri Dec 17 14:18:30 UTC 2021,-105,-16,-65,0,0,0,4886347170,7.52611731203176
Fri Dec 17 14:18:33 UTC 2021,-103,-15,-67,0,0,0,4890304886,10.4910987995963
Fri Dec 17 14:18:35 UTC 2021,-104,-17,-66,0,0,0,4894210224,10.5009083027228
Fri Dec 17 14:18:38 UTC 2021,-104,-17,-67,0,0,0,4897465378,8.80698924881438
Fri Dec 17 14:18:41 UTC 2021,-103,-15,-69,0,0,0,4901722694,11.6164476424728
Fri Dec 17 14:18:44 UTC 2021,-105,-16,-69,0,0,0,4905713366,10.6083223786761
Fri Dec 17 14:18:47 UTC 2021,-100,-13,-65,-140,-20,-120,4911696378,16.3045466669064
Fri Dec 17 14:18:50 UTC 2021,-99,-14,-66,-95,-11,-84,4920882561,24.9620656289652
Fri Dec 17 14:18:53 UTC 2021,-100,-13,-65,-91,-20,-66,4930505911,25.7014285072817
Fri Dec 17 14:18:56 UTC 2021,-97,-15,-67,0,0,0,4934222449,9.83978596845592
Fri Dec 17 14:18:59 UTC 2021,-100,-14,-66,-98,-18,-80,4939445975,13.461692819709
Fri Dec 17 14:19:02 UTC 2021,-102,-15,-67,-95,-13,-81,4944387877,13.4118305319391
Fri Dec 17 14:19:05 UTC 2021,-101,-14,-66,0,0,0,4946574957,5.94396460323261
Fri Dec 17 14:19:08 UTC 2021,-102,-14,-69,0,0,0,4950421821,10.4704242908057
Fri Dec 17 14:19:11 UTC 2021,-102,-13,-71,0,0,0,4953885197,9.02422075626319
Fri Dec 17 14:19:14 UTC 2021,-101,-14,-69,0,0,0,4957774045,10.6719432601995
Fri Dec 17 14:19:17 UTC 2021,-102,-14,-68,0,0,0,4961411229,9.8804965701841
Fri Dec 17 14:19:20 UTC 2021,-102,-13,-68,0,0,0,4965419877,10.7988032451638
Fri Dec 17 14:19:23 UTC 2021,-102,-16,-68,0,0,0,4968697501,8.87105783653803
Fri Dec 17 14:19:26 UTC 2021,-101,-15,-66,0,0,0,4973098677,11.9826252035284
Fri Dec 17 14:19:29 UTC 2021,-101,-17,-64,0,0,0,4976373826,8.63254041921457
Fri Dec 17 14:19:32 UTC 2021,-101,-15,-65,0,0,0,4979702486,9.13196320600517
Fri Dec 17 14:19:35 UTC 2021,-101,-15,-65,0,0,0,4983196988,9.50725479082018
