Time,rsrp(dBm),rsrq(dB),rssi(dBm),nr_rsrp(dBm),nr_rsrq(dB),nr_rssi(dBm),Sent Bytes,RATE(MBit/s)
Tue Jan 11 13:52:11 UTC 2022,-92,-7,-62,0,0,0,4014406480,39.961049377615375
Tue Jan 11 13:52:14 UTC 2022,-92,-8,-63,0,0,0,4029753490,41.75694333251018
Tue Jan 11 13:52:17 UTC 2022,-92,-7,-61,0,0,0,4044171740,39.21988790200674
Tue Jan 11 13:52:20 UTC 2022,-92,-8,-64,0,0,0,4058498612,38.84266002491609
Tue Jan 11 13:52:23 UTC 2022,-92,-8,-65,0,0,0,4075213296,45.324868772836545
Tue Jan 11 13:52:26 UTC 2022,-92,-8,-64,0,0,0,4091459106,43.839060990534065
Tue Jan 11 13:52:29 UTC 2022,-92,-8,-64,0,0,0,4107294464,43.02115992164921
Tue Jan 11 13:52:32 UTC 2022,-92,-8,-64,0,0,0,4121666276,37.36754039785359
Tue Jan 11 13:52:35 UTC 2022,-92,-8,-64,0,0,0,4136271776,39.83539033750122
Tue Jan 11 13:52:38 UTC 2022,-92,-8,-61,0,0,0,4151548380,41.46988074774861
Tue Jan 11 13:52:41 UTC 2022,-92,-8,-65,0,0,0,4167034704,41.058720995770706
Tue Jan 11 13:52:44 UTC 2022,-92,-8,-64,0,0,0,4182428152,41.79296700717207
Tue Jan 11 13:52:47 UTC 2022,-92,-7,-65,0,0,0,4197405156,40.879669145275095
Tue Jan 11 13:52:50 UTC 2022,-92,-7,-65,0,0,0,4214128828,45.42362018597392
